amenity,total_count,low_review_count,high_review_count,percentage_low_review,percentage_high_review
Wifi,248800,3705,170020,1.48914790996785,68.33601286173633
Essentials,238335,3612,163062,1.51551387752533,68.41714393605639
Kitchen,220097,3221,151057,1.46344566259422,68.63201224914470
Long term stays allowed,215997,3389,146523,1.56900327319361,67.83566438422756
Hangers,198799,2794,140297,1.40543966518946,70.57228658091842
TV,186230,2781,125493,1.49331471835902,67.38602802985555
Iron,172925,2262,124073,1.30808153823912,71.74960242879861
Dedicated workspace,166048,2333,119031,1.40501541722875,71.68469358257853
Hair dryer,164318,2155,119728,1.31148139583004,72.86359376331260
Hot water,162383,2147,126318,1.32218274080415,77.79016276334345
Washer,152787,2015,105687,1.31882948156584,69.17276993461486
Heating,151583,2141,108954,1.41242751495880,71.87745327642282
Shampoo,141823,1856,104373,1.30867348737511,73.59384585010894
Smoke alarm,139506,2090,98530,1.49814344902728,70.62778661849670
Air conditioning,121375,1932,79783,1.59176107106076,65.73264675592173
